"","country_region","lat","long","date","status","cases"
"102","Afghanistan",33,65,"3/12/20","deaths",0
"103","Afghanistan",33,65,"3/13/20","confirmed",7
"104","Afghanistan",33,65,"3/13/20","deaths",0
"105","Afghanistan",33,65,"3/14/20","confirmed",11
"106","Afghanistan",33,65,"3/14/20","deaths",0
"107","Afghanistan",33,65,"3/15/20","confirmed",16
"108","Afghanistan",33,65,"3/15/20","deaths",0
"109","Afghanistan",33,65,"3/16/20","confirmed",21
"110","Afghanistan",33,65,"3/16/20","deaths",0
"111","Afghanistan",33,65,"3/17/20","confirmed",22
"112","Afghanistan",33,65,"3/17/20","deaths",0
"113","Afghanistan",33,65,"3/18/20","confirmed",22
"114","Afghanistan",33,65,"3/18/20","deaths",0
"115","Afghanistan",33,65,"3/19/20","confirmed",22
"116","Afghanistan",33,65,"3/19/20","deaths",0
"117","Afghanistan",33,65,"3/20/20","confirmed",24
"118","Afghanistan",33,65,"3/20/20","deaths",0
"119","Afghanistan",33,65,"3/21/20","confirmed",24
"120","Afghanistan",33,65,"3/21/20","deaths",0
"121","Afghanistan",33,65,"3/22/20","confirmed",40
"122","Afghanistan",33,65,"3/22/20","deaths",1
"123","Afghanistan",33,65,"3/23/20","confirmed",40
"124","Afghanistan",33,65,"3/23/20","deaths",1
"125","Afghanistan",33,65,"3/24/20","confirmed",74
"126","Afghanistan",33,65,"3/24/20","deaths",1
"127","Afghanistan",33,65,"3/25/20","confirmed",84
"128","Afghanistan",33,65,"3/25/20","deaths",2
"129","Albania",41.1533,20.1683,"1/22/20","confirmed",0
"130","Albania",41.1533,20.1683,"1/22/20","deaths",0
"131","Albania",41.1533,20.1683,"1/23/20","confirmed",0
"132","Albania",41.1533,20.1683,"1/23/20","deaths",0
"133","Albania",41.1533,20.1683,"1/24/20","confirmed",0
"134","Albania",41.1533,20.1683,"1/24/20","deaths",0
"135","Albania",41.1533,20.1683,"1/25/20","confirmed",0
"136","Albania",41.1533,20.1683,"1/25/20","deaths",0
"137","Albania",41.1533,20.1683,"1/26/20","confirmed",0
"138","Albania",41.1533,20.1683,"1/26/20","deaths",0
"139","Albania",41.1533,20.1683,"1/27/20","confirmed",0
"140","Albania",41.1533,20.1683,"1/27/20","deaths",0
"141","Albania",41.1533,20.1683,"1/28/20","confirmed",0
"142","Albania",41.1533,20.1683,"1/28/20","deaths",0
"143","Albania",41.1533,20.1683,"1/29/20","confirmed",0
"144","Albania",41.1533,20.1683,"1/29/20","deaths",0
"145","Albania",41.1533,20.1683,"1/30/20","confirmed",0
"146","Albania",41.1533,20.1683,"1/30/20","deaths",0
"147","Albania",41.1533,20.1683,"1/31/20","confirmed",0
"148","Albania",41.1533,20.1683,"1/31/20","deaths",0
"149","Albania",41.1533,20.1683,"2/1/20","confirmed",0
"150","Albania",41.1533,20.1683,"2/1/20","deaths",0
"151","Albania",41.1533,20.1683,"2/2/20","confirmed",0
"152","Albania",41.1533,20.1683,"2/2/20","deaths",0
"153","Albania",41.1533,20.1683,"2/3/20","confirmed",0
"154","Albania",41.1533,20.1683,"2/3/20","deaths",0
"155","Albania",41.1533,20.1683,"2/4/20","confirmed",0
"156","Albania",41.1533,20.1683,"2/4/20","deaths",0
"157","Albania",41.1533,20.1683,"2/5/20","confirmed",0
"158","Albania",41.1533,20.1683,"2/5/20","deaths",0
"159","Albania",41.1533,20.1683,"2/6/20","confirmed",0
"160","Albania",41.1533,20.1683,"2/6/20","deaths",0
"161","Albania",41.1533,20.1683,"2/7/20","confirmed",0
"162","Albania",41.1533,20.1683,"2/7/20","deaths",0
"163","Albania",41.1533,20.1683,"2/8/20","confirmed",0
"164","Albania",41.1533,20.1683,"2/8/20","deaths",0
"165","Albania",41.1533,20.1683,"2/9/20","confirmed",0
"166","Albania",41.1533,20.1683,"2/9/20","deaths",0
"167","Albania",41.1533,20.1683,"2/10/20","confirmed",0
"168","Albania",41.1533,20.1683,"2/10/20","deaths",0
"169","Albania",41.1533,20.1683,"2/11/20","confirmed",0
"170","Albania",41.1533,20.1683,"2/11/20","deaths",0
"171","Albania",41.1533,20.1683,"2/12/20","confirmed",0
"172","Albania",41.1533,20.1683,"2/12/20","deaths",0
"173","Albania",41.1533,20.1683,"2/13/20","confirmed",0
"174","Albania",41.1533,20.1683,"2/13/20","deaths",0
"175","Albania",41.1533,20.1683,"2/14/20","confirmed",0
"176","Albania",41.1533,20.1683,"2/14/20","deaths",0
"177","Albania",41.1533,20.1683,"2/15/20","confirmed",0
"178","Albania",41.1533,20.1683,"2/15/20","deaths",0
"179","Albania",41.1533,20.1683,"2/16/20","confirmed",0
"180","Albania",41.1533,20.1683,"2/16/20","deaths",0
"181","Albania",41.1533,20.1683,"2/17/20","confirmed",0
"182","Albania",41.1533,20.1683,"2/17/20","deaths",0
"183","Albania",41.1533,20.1683,"2/18/20","confirmed",0
"184","Albania",41.1533,20.1683,"2/18/20","deaths",0
"185","Albania",41.1533,20.1683,"2/19/20","confirmed",0
"186","Albania",41.1533,20.1683,"2/19/20","deaths",0
"187","Albania",41.1533,20.1683,"2/20/20","confirmed",0
"188","Albania",41.1533,20.1683,"2/20/20","deaths",0
"189","Albania",41.1533,20.1683,"2/21/20","confirmed",0
"190","Albania",41.1533,20.1683,"2/21/20","deaths",0
"191","Albania",41.1533,20.1683,"2/22/20","confirmed",0
"192","Albania",41.1533,20.1683,"2/22/20","deaths",0
"193","Albania",41.1533,20.1683,"2/23/20","confirmed",0
"194","Albania",41.1533,20.1683,"2/23/20","deaths",0
"195","Albania",41.1533,20.1683,"2/24/20","confirmed",0
"196","Albania",41.1533,20.1683,"2/24/20","deaths",0
"197","Albania",41.1533,20.1683,"2/25/20","confirmed",0
"198","Albania",41.1533,20.1683,"2/25/20","deaths",0
"199","Albania",41.1533,20.1683,"2/26/20","confirmed",0
"200","Albania",41.1533,20.1683,"2/26/20","deaths",0
"201","Albania",41.1533,20.1683,"2/27/20","confirmed",0
"202","Albania",41.1533,20.1683,"2/27/20","deaths",0
