"","province_state","country_region","lat","long","date","status","cases"
"91",NA,"Afghanistan",33,65,"2/13/20","recovered",0
"92",NA,"Afghanistan",33,65,"2/13/20","active",0
"93",NA,"Afghanistan",33,65,"2/14/20","confirmed",0
"94",NA,"Afghanistan",33,65,"2/14/20","deaths",0
"95",NA,"Afghanistan",33,65,"2/14/20","recovered",0
"96",NA,"Afghanistan",33,65,"2/14/20","active",0
"97",NA,"Afghanistan",33,65,"2/15/20","confirmed",0
"98",NA,"Afghanistan",33,65,"2/15/20","deaths",0
"99",NA,"Afghanistan",33,65,"2/15/20","recovered",0
"100",NA,"Afghanistan",33,65,"2/15/20","active",0
"101",NA,"Afghanistan",33,65,"2/16/20","confirmed",0
"102",NA,"Afghanistan",33,65,"2/16/20","deaths",0
"103",NA,"Afghanistan",33,65,"2/16/20","recovered",0
"104",NA,"Afghanistan",33,65,"2/16/20","active",0
"105",NA,"Afghanistan",33,65,"2/17/20","confirmed",0
"106",NA,"Afghanistan",33,65,"2/17/20","deaths",0
"107",NA,"Afghanistan",33,65,"2/17/20","recovered",0
"108",NA,"Afghanistan",33,65,"2/17/20","active",0
"109",NA,"Afghanistan",33,65,"2/18/20","confirmed",0
"110",NA,"Afghanistan",33,65,"2/18/20","deaths",0
"111",NA,"Afghanistan",33,65,"2/18/20","recovered",0
"112",NA,"Afghanistan",33,65,"2/18/20","active",0
"113",NA,"Afghanistan",33,65,"2/19/20","confirmed",0
"114",NA,"Afghanistan",33,65,"2/19/20","deaths",0
"115",NA,"Afghanistan",33,65,"2/19/20","recovered",0
"116",NA,"Afghanistan",33,65,"2/19/20","active",0
"117",NA,"Afghanistan",33,65,"2/20/20","confirmed",0
"118",NA,"Afghanistan",33,65,"2/20/20","deaths",0
"119",NA,"Afghanistan",33,65,"2/20/20","recovered",0
"120",NA,"Afghanistan",33,65,"2/20/20","active",0
"121",NA,"Afghanistan",33,65,"2/21/20","confirmed",0
"122",NA,"Afghanistan",33,65,"2/21/20","deaths",0
"123",NA,"Afghanistan",33,65,"2/21/20","recovered",0
"124",NA,"Afghanistan",33,65,"2/21/20","active",0
"125",NA,"Afghanistan",33,65,"2/22/20","confirmed",0
"126",NA,"Afghanistan",33,65,"2/22/20","deaths",0
"127",NA,"Afghanistan",33,65,"2/22/20","recovered",0
"128",NA,"Afghanistan",33,65,"2/22/20","active",0
"129",NA,"Afghanistan",33,65,"2/23/20","confirmed",0
"130",NA,"Afghanistan",33,65,"2/23/20","deaths",0
"131",NA,"Afghanistan",33,65,"2/23/20","recovered",0
"132",NA,"Afghanistan",33,65,"2/23/20","active",0
"133",NA,"Afghanistan",33,65,"2/24/20","confirmed",1
"134",NA,"Afghanistan",33,65,"2/24/20","deaths",0
"135",NA,"Afghanistan",33,65,"2/24/20","recovered",0
"136",NA,"Afghanistan",33,65,"2/24/20","active",1
"137",NA,"Afghanistan",33,65,"2/25/20","confirmed",1
"138",NA,"Afghanistan",33,65,"2/25/20","deaths",0
"139",NA,"Afghanistan",33,65,"2/25/20","recovered",0
"140",NA,"Afghanistan",33,65,"2/25/20","active",1
"141",NA,"Afghanistan",33,65,"2/26/20","confirmed",1
"142",NA,"Afghanistan",33,65,"2/26/20","deaths",0
"143",NA,"Afghanistan",33,65,"2/26/20","recovered",0
"144",NA,"Afghanistan",33,65,"2/26/20","active",1
"145",NA,"Afghanistan",33,65,"2/27/20","confirmed",1
"146",NA,"Afghanistan",33,65,"2/27/20","deaths",0
"147",NA,"Afghanistan",33,65,"2/27/20","recovered",0
"148",NA,"Afghanistan",33,65,"2/27/20","active",1
"149",NA,"Afghanistan",33,65,"2/28/20","confirmed",1
"150",NA,"Afghanistan",33,65,"2/28/20","deaths",0
"151",NA,"Afghanistan",33,65,"2/28/20","recovered",0
"152",NA,"Afghanistan",33,65,"2/28/20","active",1
"153",NA,"Afghanistan",33,65,"2/29/20","confirmed",1
"154",NA,"Afghanistan",33,65,"2/29/20","deaths",0
"155",NA,"Afghanistan",33,65,"2/29/20","recovered",0
"156",NA,"Afghanistan",33,65,"2/29/20","active",1
"157",NA,"Afghanistan",33,65,"3/1/20","confirmed",1
"158",NA,"Afghanistan",33,65,"3/1/20","deaths",0
"159",NA,"Afghanistan",33,65,"3/1/20","recovered",0
"160",NA,"Afghanistan",33,65,"3/1/20","active",1
"161",NA,"Afghanistan",33,65,"3/2/20","confirmed",1
"162",NA,"Afghanistan",33,65,"3/2/20","deaths",0
"163",NA,"Afghanistan",33,65,"3/2/20","recovered",0
"164",NA,"Afghanistan",33,65,"3/2/20","active",1
"165",NA,"Afghanistan",33,65,"3/3/20","confirmed",1
"166",NA,"Afghanistan",33,65,"3/3/20","deaths",0
"167",NA,"Afghanistan",33,65,"3/3/20","recovered",0
"168",NA,"Afghanistan",33,65,"3/3/20","active",1
"169",NA,"Afghanistan",33,65,"3/4/20","confirmed",1
"170",NA,"Afghanistan",33,65,"3/4/20","deaths",0
"171",NA,"Afghanistan",33,65,"3/4/20","recovered",0
"172",NA,"Afghanistan",33,65,"3/4/20","active",1
"173",NA,"Afghanistan",33,65,"3/5/20","confirmed",1
"174",NA,"Afghanistan",33,65,"3/5/20","deaths",0
"175",NA,"Afghanistan",33,65,"3/5/20","recovered",0
"176",NA,"Afghanistan",33,65,"3/5/20","active",1
"177",NA,"Afghanistan",33,65,"3/6/20","confirmed",1
"178",NA,"Afghanistan",33,65,"3/6/20","deaths",0
"179",NA,"Afghanistan",33,65,"3/6/20","recovered",0
"180",NA,"Afghanistan",33,65,"3/6/20","active",1
"181",NA,"Afghanistan",33,65,"3/7/20","confirmed",1
"182",NA,"Afghanistan",33,65,"3/7/20","deaths",0
"183",NA,"Afghanistan",33,65,"3/7/20","recovered",0
"184",NA,"Afghanistan",33,65,"3/7/20","active",1
"185",NA,"Afghanistan",33,65,"3/8/20","confirmed",4
"186",NA,"Afghanistan",33,65,"3/8/20","deaths",0
"187",NA,"Afghanistan",33,65,"3/8/20","recovered",0
